_id,time,latitude,longitude,accuracy
ObjectId("5d2559398e1804c8891f7a37"),1562728760853,14.6478503,121.0674182,818
ObjectId("5d2559458e1804c8891f7a39"),1562728772915,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559458e1804c8891f7a3b"),1562728773006,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559458e1804c8891f7a3d"),1562728773042,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559458e1804c8891f7a3f"),1562728773068,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559468e1804c8891f7a41"),1562728773286,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559468e1804c8891f7a43"),1562728774237,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559478e1804c8891f7a45"),1562728775284,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559488e1804c8891f7a47"),1562728776265,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559498e1804c8891f7a49"),1562728777252,14.635835,121.0734383,11.199999809265137
ObjectId("5d25594a8e1804c8891f7a4b"),1562728778267,14.635835,121.0734383,11.199999809265137
ObjectId("5d25594c8e1804c8891f7a4d"),1562728779358,14.635835,121.0734383,11.199999809265137
ObjectId("5d25594c8e1804c8891f7a4f"),1562728780321,14.635835,121.0734383,11.199999809265137
ObjectId("5d25594d8e1804c8891f7a51"),1562728781270,14.635835,121.0734383,11.199999809265137
ObjectId("5d25594e8e1804c8891f7a53"),1562728782264,14.635835,121.0734383,11.199999809265137
ObjectId("5d25594f8e1804c8891f7a55"),1562728783280,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559508e1804c8891f7a57"),1562728784323,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559528e1804c8891f7a59"),1562728785376,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559528e1804c8891f7a5b"),1562728786322,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559548e1804c8891f7a5d"),1562728787389,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559558e1804c8891f7a5f"),1562728788441,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559568e1804c8891f7a61"),1562728789493,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559578e1804c8891f7a63"),1562728790582,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559588e1804c8891f7a65"),1562728791529,14.635835,121.0734383,11.199999809265137
ObjectId("5d2559598e1804c8891f7a67"),1562728792582,14.635835,121.0734383,11.199999809265137
ObjectId("5d25595a8e1804c8891f7a69"),1562728793580,14.635835,121.0734383,11.199999809265137
ObjectId("5d25595b8e1804c8891f7a6b"),1562728794531,14.635835,121.0734383,11.199999809265137
