time,latitude,longitude,speed,heading,altitude,accuracy
1562895711605,14.64947004,121.0690266,4.769999980926514,293.29998779296875,106,19
1562895711648,14.64947004,121.0690266,4.769999980926514,293.29998779296875,106,19
1562895711672,14.64947004,121.0690266,4.769999980926514,293.29998779296875,106,19
1562895711691,14.64947004,121.0690266,4.769999980926514,293.29998779296875,106,19
1562895713598,14.64953588,121.06894169,5.400000095367432,342.79998779296875,137,11
1562895713616,14.64953588,121.06894169,5.400000095367432,342.79998779296875,137,11
1562895713630,14.64953588,121.06894169,5.400000095367432,342.79998779296875,137,11
1562895713642,14.64953588,121.06894169,5.400000095367432,342.79998779296875,137,11
1562895713656,14.64953588,121.06894169,5.400000095367432,342.79998779296875,137,11
1562895714592,14.64950616,121.06883908,4.920000076293945,337.1000061035156,118,11
1562895714612,14.64950616,121.06883908,4.920000076293945,337.1000061035156,118,11
1562895714622,14.64950616,121.06883908,4.920000076293945,337.1000061035156,118,11
1562895714630,14.64950616,121.06883908,4.920000076293945,337.1000061035156,118,11
1562895714640,14.64950616,121.06883908,4.920000076293945,337.1000061035156,118,11
1562895715598,14.64953853,121.06878834,4.059999942779541,341.79998779296875,116,15
1562895715616,14.64953853,121.06878834,4.059999942779541,341.79998779296875,116,15
1562895715631,14.64953853,121.06878834,4.059999942779541,341.79998779296875,116,15
1562895715641,14.64953853,121.06878834,4.059999942779541,341.79998779296875,116,15
1562895715655,14.64953853,121.06878834,4.059999942779541,341.79998779296875,116,15
1562895716598,14.64954748,121.06861589,5.170000076293945,323.20001220703125,83,16
1562895716612,14.64954748,121.06861589,5.170000076293945,323.20001220703125,83,16
1562895716627,14.64954748,121.06861589,5.170000076293945,323.20001220703125,83,16
1562895716637,14.64954748,121.06861589,5.170000076293945,323.20001220703125,83,16
1562895716648,14.64954748,121.06861589,5.170000076293945,323.20001220703125,83,16
1562895716681,14.64954748,121.06861589,5.170000076293945,323.20001220703125,83,16
1562895717598,14.64961328,121.06861178,5.369999885559082,337.3999938964844,77,14
1562895717614,14.64961328,121.06861178,5.369999885559082,337.3999938964844,77,14
1562895717625,14.64961328,121.06861178,5.369999885559082,337.3999938964844,77,14
1562895717636,14.64961328,121.06861178,5.369999885559082,337.3999938964844,77,14
1562895717646,14.64961328,121.06861178,5.369999885559082,337.3999938964844,77,14
1562895717682,14.64961328,121.06861178,5.369999885559082,337.3999938964844,77,14
1562895718599,14.64964757,121.0686597,5.010000228881836,347.3999938964844,99,8
1562895718622,14.64964757,121.0686597,5.010000228881836,347.3999938964844,99,8
1562895718635,14.64964757,121.0686597,5.010000228881836,347.3999938964844,99,8
1562895718648,14.64964757,121.0686597,5.010000228881836,347.3999938964844,99,8
1562895718659,14.64964757,121.0686597,5.010000228881836,347.3999938964844,99,8
1562895718715,14.64964757,121.0686597,5.010000228881836,347.3999938964844,99,8
1562895719598,14.64969013,121.06865149,4.340000152587891,327.79998779296875,105,9
1562895719615,14.64969013,121.06865149,4.340000152587891,327.79998779296875,105,9
1562895719628,14.64969013,121.06865149,4.340000152587891,327.79998779296875,105,9
1562895719639,14.64969013,121.06865149,4.340000152587891,327.79998779296875,105,9
1562895719652,14.64969013,121.06865149,4.340000152587891,327.79998779296875,105,9
1562895719716,14.64969013,121.06865149,4.340000152587891,327.79998779296875,105,9
1562895720596,14.64974979,121.06864894,4.409999847412109,334.79998779296875,107,7
1562895720610,14.64974979,121.06864894,4.409999847412109,334.79998779296875,107,7
1562895720620,14.64974979,121.06864894,4.409999847412109,334.79998779296875,107,7
1562895720631,14.64974979,121.06864894,4.409999847412109,334.79998779296875,107,7
1562895720643,14.64974979,121.06864894,4.409999847412109,334.79998779296875,107,7
1562895721777,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895721799,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895721825,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895721848,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895721875,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895721896,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895722334,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895722347,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895722374,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895722396,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895722417,14.64977478,121.06853431,4.489999771118164,324.29998779296875,86,11
1562895722672,14.64979466,121.06857412,3.2699999809265137,333.79998779296875,87,10
1562895722689,14.64979466,121.06857412,3.2699999809265137,333.79998779296875,87,10
1562895722718,14.64979466,121.06857412,3.2699999809265137,333.79998779296875,87,10
1562895722752,14.64979466,121.06857412,3.2699999809265137,333.79998779296875,87,10
1562895722777,14.64979466,121.06857412,3.2699999809265137,333.79998779296875,87,10
1562895723042,14.64983869,121.0686113,2.619999885559082,329,94,12
1562895723079,14.64983869,121.0686113,2.619999885559082,329,94,12
1562895723107,14.64983869,121.0686113,2.619999885559082,329,94,12
1562895723131,14.64983869,121.0686113,2.619999885559082,329,94,12
1562895723157,14.64983869,121.0686113,2.619999885559082,329,94,12
1562895723952,14.64986421,121.06856458,2.609999895095825,332.5,82,11
1562895723972,14.64986421,121.06856458,2.609999895095825,332.5,82,11
1562895723985,14.64986421,121.06856458,2.609999895095825,332.5,82,11
1562895724000,14.64986421,121.06856458,2.609999895095825,332.5,82,11
1562895724012,14.64986421,121.06856458,2.609999895095825,332.5,82,11
