_id,uuid,time,latitude,longitude,altitude,client ip
ObjectId("5d22bbbdfe6157306f947f1a"),dcad0b7b-aa71-45ef-8542-08d321d798b1,1562557372627,14.6496162,121.0684293,119.5,175.176.17.146
ObjectId("5d22bbe9fe6157306f947f1c"),39034cb2-91a1-4805-abf7-6595c75f7395,1562557415671,14.6508457,121.0687452,,175.176.17.146
ObjectId("5d22bc5bfe6157306f947f1e"),110aa721-7700-4028-b4c2-45107d0d0976,1562557530546,14.6524399,121.0715347,,175.176.17.146
ObjectId("5d22e5704c62602e3b1467ca"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568047203,14.6486557,121.0685562,121.69999694824219,175.176.17.146
ObjectId("5d22e5704c62602e3b1467cc"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568047262,14.6486557,121.0685562,121.69999694824219,175.176.17.146
ObjectId("5d22e5704c62602e3b1467ce"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568047284,14.6486557,121.0685562,121.69999694824219,175.176.17.146
ObjectId("5d22e5704c62602e3b1467d0"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568047298,14.6486557,121.0685562,121.69999694824219,175.176.17.146
ObjectId("5d22e5704c62602e3b1467d2"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568047311,14.6486557,121.0685562,121.69999694824219,175.176.17.146
ObjectId("5d22e5704c62602e3b1467d4"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568047623,14.6486557,121.0685562,121.69999694824219,175.176.17.146
ObjectId("5d22e5724c62602e3b1467d6"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568049600,14.6486697,121.0685727,121.69999694824219,175.176.17.146
ObjectId("5d22e5724c62602e3b1467d8"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568048604,14.6486697,121.0685727,121.69999694824219,175.176.17.146
ObjectId("5d22e5734c62602e3b1467da"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568050599,14.6486697,121.0685727,121.69999694824219,175.176.17.146
ObjectId("5d22e5744c62602e3b1467dc"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568051606,14.6486515,121.0685616,121.69999694824219,175.176.17.146
ObjectId("5d22e5754c62602e3b1467de"),7ee1be49-f22a-4c63-a966-b25a275f8755,1562568052617,14.6487092,121.0686159,121.5999984741211,175.176.17.146
